Model,Dataset,Enlargement,PSNR,SSIM,PI,NIQE,LPIPS,Parameters,ModelSize_MB
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,3x,24.04,0.7016,3.6774,4.4982,0.2182,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,4x,22.61,0.615,3.604,4.327,0.2812,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,2x,27.87,0.8651,3.8481,5.6267,0.1157,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,3x,25.29,0.7896,4.1539,5.7943,0.1693,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,4x,23.33,0.7112,4.4182,5.8491,0.2235,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,2x,24.47,0.8218,4.084,5.8372,0.1205,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,4x,21.23,0.6133,4.0644,4.2629,0.3151,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,2x,26.6,0.792,3.275,4.943,0.1953,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,3x,24.63,0.6772,3.6795,5.1887,0.2858,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,4x,23.31,0.5887,3.5329,4.637,0.3375,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,2x,26.31,0.8159,3.5662,5.0389,0.1392,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,3x,24.38,0.7123,3.9421,4.9371,0.2064,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,4x,22.87,0.6208,3.7491,4.4494,0.2727,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,2x,28.32,0.8825,3.9879,5.7602,0.1074,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,3x,25.92,0.8113,4.1886,5.9311,0.1451,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,4x,24.03,0.7226,4.2422,5.5048,0.1984,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Urban100,2x,24.69,0.8278,4.2526,6.2416,0.1197,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Urban100,4x,21.36,0.6143,4.1337,4.2491,0.3302,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,2x,25.96,0.7745,3.0587,4.6066,0.1986,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,3x,24.11,0.6621,3.0821,4.2288,0.2861,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,4x,22.78,0.5749,3.2266,4.3613,0.3319,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,2x,25.73,0.8003,3.3941,4.6469,0.1484,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,3x,23.87,0.7001,3.4906,4.1738,0.2077,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,4x,22.59,0.608,3.5841,4.4858,0.2725,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,2x,27.45,0.8662,3.9415,5.6822,0.1158,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,3x,25.2,0.7837,4.0201,5.6394,0.16,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,4x,23.26,0.6922,4.3393,5.6599,0.2132,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Urban100,2x,24.42,0.82,4.3136,6.1428,0.1182,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Urban100,4x,21.18,0.6024,4.1691,4.5058,0.3342,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,2x,24.56,0.6753,3.6676,5.7054,0.3075,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,3x,22.9,0.5651,3.5679,4.928,0.3733,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,4x,21.52,0.4746,4.5287,6.7805,0.4614,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,2x,23.94,0.7038,3.925,5.3152,0.2315,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,3x,22.3,0.5967,3.7723,4.7814,0.3017,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,4x,20.89,0.5039,4.872,6.7831,0.4024,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,2x,25.01,0.7413,4.6602,6.9714,0.1767,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,3x,23.16,0.6545,4.2812,5.6719,0.2172,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,4x,21.76,0.5656,5.6462,8.1599,0.2936,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Urban100,2x,22.67,0.7418,4.7717,6.8144,0.201,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Urban100,4x,19.74,0.5233,4.8361,5.6682,0.4425,16697987,63.7
